№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
197	90	99	2	2		Sosua		Coral	9059	0,91	0,85
198	91	74	1	1		Cabarete		DR	3520	1,23	1,14
199	92	55	1	1,5		Sosua		Coral	8062	1,67	1,56
200	92	75	1	1	0,05	Sosua		C21	2780	1,23	1,14
201	92,5	75	1	1		Cabarete		Coral	6206	1,23	1,15
202	93	92	2	2		Cabarete		Coral	8026	1,01	0,94
203	95	50	1	1		Cabarete		West	3623	1,9	1,77
204	95	55	1	1	0,1	Cabarete		KI	348	1,73	1,61
205	95	60	1	1		Sosua		DR	3726	1,58	1,47
206	95	63	1	1,2	0,8	Sosua		C21	3150	1,51	1,4
207	95	65	1	1		Cabarete		DR	3959	1,46	1,36
208	95	65	1	1		Cabarete		Coral	9049	1,46	1,36
209	95	80	2	1		Sosua		KI	405	1,19	1,1
210	95	83	1	1		Cabarete		Coral	6183	1,14	1,06
211	95	131	2	1		Sosua		West	3579	0,73	0,67
212	97	48	1	1		Cabarete		Coral	9037	2,02	1,88
213	98	50	1	1		Cabarete		Coral	9001	1,96	1,82
214	98	50	1	1		Sosua		C21	1656	1,96	1,82
215	98	78	1	1	0,8	Sosua		C21	2013	1,26	1,17
216	98	87	1	1		Cabarete		DR	878	1,13	1,05
217	99	60	1	1		Cabarete		KI	315	1,65	1,53
218	99	60	1	1		Sosua		Coral	8021	1,65	1,53
219	99	65	1	1		Cabarete		C21	2577	1,52	1,42
220	99	66	1	1		Cabarete		DR	3857	1,5	1,4
221	99	70	1	1		Cabarete		DR	1504	1,41	1,32
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
222	99	70	1	1		Cabarete		C21	1992	1,41	1,32
223	99	80	2	2	2,5	Sosua		C21	2368	1,24	1,15
224	99	92	1	1	0,05	Cabarete		C21	3157	1,08	1
225	99	100	2	2		Sosua		Coral	6218	0,99	0,92
226	99	112	1	1,5		Sosua		Coral	9044	0,88	0,82
227	99	150	2	2		Sosua		DR	3842	0,66	0,61
228	99,5	58	1	1	0,2	Cabarete		C21	927	1,72	1,6
229	99,5	75	1	1		Cabarete		Coral	6196	1,33	1,23
230	99,5	85	2	1		Sosua		Coral	9029	1,17	1,09
231	100	70	1	1	0,5	Cabarete		C21	2473	1,43	1,33
232	100	130	2	2	1,5	Sosua		C21	2617	0,77	0,72
233	104	98	2	2		Sosua		DR	1414	1,06	0,99
234	104,2	64	1	1		Sosua		Coral	6231	1,63	1,51
235	105	51	1	1	0,1	Cabarete		C21	2036	2,06	1,91
236	105	52	1	1		Cabarete		Coral	6227	2,02	1,88
237	105	54	1	1		Cabarete		DR	1058	1,94	1,81
238	105	55	1	1		Sosua		Coral	8040	1,91	1,78
239	105	70	1	1		Cabarete		West	3066	1,5	1,4
240	105	100	2	2		Cabarete		Coral	6224	1,05	0,98
241	105	105	2	2		Cabarete		KI	356	1	0,93
242	106	72	1	1	0,1	Sosua		C21	2841	1,47	1,37
243	107	148	3	2	0,1	Sosua		C21	2402	0,72	0,67
244	108	80	1	1	0,2	Cabarete	1997	KI	450	1,35	1,26
245	109	54	1	1		Cabarete		KI	256	2,02	1,88
246	109	65	1	1		Cabarete		Coral	9050	1,68	1,56
247	109	65	1	1		Sosua		DR	991	1,68	1,56
248	109	71	1	1	0,1	Cabarete		C21	2926	1,54	1,43
249	109	75	2	1	0,1	Sosua		C21	2811	1,45	1,35
250	109,5	58	1	1		Cabarete		Coral	2027	1,89	1,76
251	110	51	1	1	0,1	Cabarete		C21	2654	2,16	2,01
252	110	66	2	1	0,8	Cabarete		C21	2770	1,67	1,55
253	110	66	2	1	0,8	Cabarete		C21	2769	1,67	1,55
254	110	71	1	1	0,1	Cabarete		C21		1,55	1,44
255	110	72	1	1	0,1	Cabarete		C21	2668	1,53	1,42
256	110	75	2	1	0,3	Cabarete		C21	2765	1,47	1,36
257	110	75	1	1		Cabarete		Coral	6253	1,47	1,36
258	110	76	2	1	0,5	Cabarete		C21	2750	1,45	1,35
259	110	79	1	1		Cabarete		Coral	6027	1,39	1,29
260	110	80	2	1		Cabarete		West	3671	1,38	1,28
261	110	87	2	1		Sosua		West	3518	1,26	1,18
